"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"1"	131.971725	114.2500075	128.999125	139.644175	110.3900725	111.472223125	140.53214375	127.76861875	122.477829375	112.549729375	109.836023125	109.76148375	105.50034125	166.15521875	147.4429125	126.39529375
"2"	224.98385	204.76216875	201.14094375	217.21973125	265.82519375	229.34930625	201.84211875	366.844125	218.4061875	242.25315625	175.7157	225.296375	187.8465	225.5682875	227.97329375	292.38105625
"3"	11976.012	12373.8158125	11889.626375	11560.006375	13065.80825	12478.802625	12478.802625	12123.9195625	11292.8495	12478.802625	13288.110125	12624.68325	12478.802625	12624.68325	12373.8158125	11797.48625
"4"	621.56033125	599.61059375	677.4629625	769.07034375	727.94110625	589.94665	606.1588125	757.37550625	730.32181875	659.6007875	677.4629625	522.89451875	585.48206875	581.686025	776.489725	614.0723375
"5"	117.219205625	110.98619	109.285616875	138.73751875	87.598940625	104.00304125	108.38870375	117.67677875	135.72860625	101.50493875	117.591264375	113.489303125	116.950134375	128.7973125	142.51455625	109.54561
"6"	255.4601875	286.29911875	259.0566875	275.77601875	296.409675	229.77753125	239.43008125	269.65378125	245.3605375	284.31165625	247.90148125	265.279125	261.00009375	184.478075	268.42438125	268.8723875
"7"	377.0301875	381.14763125	319.514725	363.32661875	402.4779125	407.5472	366.844125	395.68861875	349.67496875	364.01931875	401.87918125	386.9138	371.93770625	382.4423125	404.53820625	400.7477
"8"	3978.49975	4147.6993125	5265.8705625	5105.0305625	4147.6993125	4424.478875	4362.648125	5105.0305625	5174.6090625	4147.6993125	4887.020875	5174.6090625	4179.061125	4844.573	4733.6644375	4277.6758125
"9"	117.089145625	132.9590375	163.29834375	151.52859375	161.189075	127.95795	139.5978375	154.565525	137.099725	140.2483125	112.26455875	140.62668125	128.52884375	126.91751875	138.73751875	155.527925
"10"	382.4423125	285.1416375	275.77601875	321.59259375	268.8723875	350.11641875	352.7386375	295.43828125	294.4034625	273.421	296.409675	368.799725	328.82565	362.6535	268.1147375	270.07744375
"11"	422.8237625	496.62605	375.2119	382.83941875	376.47808125	400.7477	430.8253625	348.03169375	345.62870625	401.3315125	428.94070625	430.21985	408.61395625	455.624475	366.23786875	372.516125
"12"	2420.0363125	1835.7518125	2630.472625	3462.568625	1968.60475	2146.572	1646.9135	3085.2371875	3280.2924375	2266.8151875	1940.737125	2712.683	2146.572	2085.0958125	3356.545375	2465.7701875
"13"	1374.5466	1244.9473375	1311.4607625	1359.28981875	1473.5649375	1560.1451875	1108.36615	1357.25375	1441.3556875	1377.5416375	1327.62175	1371.56401875	1342.54178125	1482.8556875	1412.6302875	1371.56401875
"14"	97.354894375	114.972845	97.157758125	101.50493875	82.27149	99.652003125	92.634056875	145.66103125	102.0274	97.597860625	89.02982875	85.809309375	81.7052825	77.203263125	91.9690925	111.595575
"15"	345.1853	304.9198875	346.2339875	380.09071875	375.8839	325.509425	323.54536875	424.28915	408.13461875	345.62870625	426.156875	328.25305625	370.4178625	360.5706125	413.99046875	367.44523125
"16"	772.2212125	777.93676875	731.61870625	681.427275	699.5371375	688.03285	754.6065	736.10881875	723.3930125	872.51879375	760.30370625	692.7964875	776.489725	646.0149875	724.802775	825.58445
"17"	123.70261875	146.8413625	139.13619375	115.01405625	173.3957375	125.40454375	150.91515625	122.553198125	110.846081875	133.91555625	112.78632375	128.6397625	121.07139875	123.6104375	127.08774375	140.9942875
"18"	744.98763125	648.70293125	722.08959375	912.46550625	558.7869375	604.00640625	766.66510625	824.23728125	932.1527625	658.52740625	802.98309375	724.802775	683.1083125	898.4772375	869.529075	710.563425
"19"	1930.9149375	1979.044875	1788.3324375	1336.87561875	1984.038875	1734.494625	2009.9195	1391.1089875	1435.01625	2004.0883125	1523.8275	1764.9110625	2114.1111875	1612.59075	1374.5466	1811.995
"20"	2489.4255625	2802.610375	2547.0751875	2489.4255625	2621.539	2401.18975	2646.7761875	2875.2813125	3110.2599375	2775.3303125	3389.256	2996.8821875	2844.823	3426.93725	2974.0406875	2762.177
"21"	128.7973125	138.5512625	127.21530625	119.28339875	165.85126875	133.62684375	121.587280625	137.209825	127.6941	149.94389375	107.08530875	131.779825	120.837990625	115.115086875	128.4249	127.1607875
"22"	473.21193125	492.623575	378.23015625	373.13879375	406.80276875	428.94070625	495.9603	317.332925	313.2156125	387.87693125	480.30293125	453.8130875	499.85775	506.4096375	344.2200125	365.7840875
"23"	183.87299375	159.75545625	174.25045625	157.38825625	165.30901875	204.76216875	156.36553125	146.16160625	159.5969875	170.46980625	163.63474375	148.9598125	190.51745625	150.5442125	149.722725	168.61523125
"24"	227.02874375	301.89935625	287.810125	301.5055625	330.3671625	273.421	287.1220875	270.07744375	246.3151125	248.9443875	257.8044125	309.88751875	264.16695	236.2635875	209.42774375	271.1907
